172.21.200.34, 2017-07-17 12:17:36, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001203
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001264
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001195
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001899
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001314
172.21.200.34, 2017-07-17 12:17:37, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001520
172.21.200.34, 2017-07-17 12:17:37, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001472
172.21.200.34, 2017-07-17 12:17:37, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001405
172.21.200.34, 2017-07-17 12:17:37, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001822
172.21.200.34, 2017-07-17 12:17:37, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001387
172.21.200.34, 2017-07-17 12:17:37, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001184
172.21.200.34, 2017-07-17 12:17:37, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.001164
172.21.200.34, 2017-07-17 12:17:37, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001176
172.21.200.34, 2017-07-17 12:17:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000755
172.21.200.34, 2017-07-17 12:17:43, POST, /admin/default/index, HTTP/1.1, 303, 0.160427
